
[Name]
SS304 At Air Outlet Flange

[Spatial Fields]
x, y, z

[Data]
x [ in ], y [ in ], z [ in ], Temperature [ F ]
-1.17633939e+000, 8.40000000e+001, -7.00000000e+001, 4.48251923e+002
-1.17633939e+000, 8.40624924e+001, -7.00000000e+001, 4.47318573e+002
-1.58928585e+000, 8.40000000e+001, -7.00000000e+001, 4.50027191e+002
-1.58928585e+000, 8.40624924e+001, -7.00000000e+001, 4.49075348e+002
-2.00223231e+000, 8.40000000e+001, -7.00000000e+001, 4.51732697e+002
-2.00223231e+000, 8.40624924e+001, -7.00000000e+001, 4.50764923e+002
-2.41517854e+000, 8.40000000e+001, -7.00000000e+001, 4.53341888e+002
-2.41517854e+000, 8.40624924e+001, -7.00000000e+001, 4.52361664e+002
-2.82812500e+000, 8.40000000e+001, -7.00000000e+001, 4.54846130e+002
-2.82812500e+000, 8.40624924e+001, -7.00000000e+001, 4.53856079e+002
-3.24107146e+000, 8.40000000e+001, -7.00000000e+001, 4.56243530e+002
-3.24107146e+000, 8.40624924e+001, -7.00000000e+001, 4.55245361e+002
-3.65401793e+000, 8.40000000e+001, -7.00000000e+001, 4.57534363e+002
-3.65401793e+000, 8.40624924e+001, -7.00000000e+001, 4.56529327e+002
-4.06696415e+000, 8.40000000e+001, -7.00000000e+001, 4.58720337e+002
-4.06696415e+000, 8.40624924e+001, -7.00000000e+001, 4.57709106e+002
-4.47991085e+000, 8.40000000e+001, -7.00000000e+001, 4.59802124e+002
-4.47991085e+000, 8.40624924e+001, -7.00000000e+001, 4.58785278e+002
-4.89285707e+000, 8.40000000e+001, -7.00000000e+001, 4.60781433e+002
-4.89285707e+000, 8.40624924e+001, -7.00000000e+001, 4.59759369e+002
-5.30580378e+000, 8.40000000e+001, -7.00000000e+001, 4.61657471e+002
-5.30580378e+000, 8.40624924e+001, -7.00000000e+001, 4.60630219e+002
-5.71875000e+000, 8.40000000e+001, -7.00000000e+001, 4.62427673e+002
-5.71875000e+000, 8.40624924e+001, -7.00000000e+001, 4.61395142e+002
-6.13169622e+000, 8.40000000e+001, -7.00000000e+001, 4.63086517e+002
-6.13169622e+000, 8.40624924e+001, -7.00000000e+001, 4.62048309e+002
-6.54464293e+000, 8.40000000e+001, -7.00000000e+001, 4.63623657e+002
-6.54464293e+000, 8.40624924e+001, -7.00000000e+001, 4.62579193e+002
-6.95758915e+000, 8.40000000e+001, -7.00000000e+001, 4.64023102e+002
-6.95758915e+000, 8.40624924e+001, -7.00000000e+001, 4.62971710e+002
-7.37053537e+000, 8.40000000e+001, -7.00000000e+001, 4.64261505e+002
-7.37053537e+000, 8.40624924e+001, -7.00000000e+001, 4.63202209e+002
-7.78348207e+000, 8.40000000e+001, -7.00000000e+001, 4.64306458e+002
-7.78348207e+000, 8.40624924e+001, -7.00000000e+001, 4.63238129e+002
-8.19642925e+000, 8.40000000e+001, -7.00000000e+001, 4.64112427e+002
-8.19642925e+000, 8.40624924e+001, -7.00000000e+001, 4.63034119e+002
-8.60937500e+000, 8.40000000e+001, -7.00000000e+001, 4.63624420e+002
-8.60937500e+000, 8.40624924e+001, -7.00000000e+001, 4.62533813e+002
-9.02232170e+000, 8.40000000e+001, -7.00000000e+001, 4.62759125e+002
-9.02232170e+000, 8.40624924e+001, -7.00000000e+001, 4.61653534e+002
-9.43526840e+000, 8.40000000e+001, -7.00000000e+001, 4.61404633e+002
-9.43526840e+000, 8.40624924e+001, -7.00000000e+001, 4.60281128e+002
-9.84821415e+000, 8.40000000e+001, -7.00000000e+001, 4.59405243e+002
-9.84821415e+000, 8.40624924e+001, -7.00000000e+001, 4.58262421e+002
-1.02611599e+001, 8.40000000e+001, -7.00000000e+001, 4.56557343e+002
-1.02611599e+001, 8.40624924e+001, -7.00000000e+001, 4.55398529e+002
-1.06741076e+001, 8.40000000e+001, -7.00000000e+001, 4.52635345e+002
-1.06741076e+001, 8.40624924e+001, -7.00000000e+001, 4.51469543e+002
-1.20000000e+001, 8.40000000e+001, -7.00000000e+001, 4.29338165e+002
-1.20000000e+001, 8.39583359e+001, -7.00000000e+001, 4.30710693e+002
-1.20625010e+001, 8.39583359e+001, -7.00000000e+001, 4.29444183e+002
-1.20625010e+001, 8.40000000e+001, -7.00000000e+001, 4.27987671e+002
-1.19803362e+001, 8.40000000e+001, -7.00000000e+001, 4.29586578e+002
-1.20000000e+001, 8.40624924e+001, -7.00000000e+001, 4.27606079e+002
-1.19803362e+001, 8.40624924e+001, -7.00000000e+001, 4.28137329e+002
-1.20625010e+001, 8.40624924e+001, -7.00000000e+001, 4.25707367e+002
-1.20000000e+001, 8.39166641e+001, -7.00000000e+001, 4.32078766e+002
-1.20000000e+001, 8.38750000e+001, -7.00000000e+001, 4.33406738e+002
-1.20625010e+001, 8.38750000e+001, -7.00000000e+001, 4.32189667e+002
-1.20625010e+001, 8.39166641e+001, -7.00000000e+001, 4.30846161e+002
-1.20000000e+001, 8.35703735e+001, -7.00000000e+001, 4.41350403e+002
-1.20625010e+001, 8.35703735e+001, -7.00000000e+001, 4.40195129e+002
-1.16805372e+001, 8.40000000e+001, -7.00000000e+001, 4.36642059e+002
-1.16805372e+001, 8.40624924e+001, -7.00000000e+001, 4.35534790e+002
-1.17492924e+001, 8.40000000e+001, -7.00000000e+001, 4.35020020e+002
-1.17492924e+001, 8.40624924e+001, -7.00000000e+001, 4.33938965e+002
-1.18067894e+001, 8.40000000e+001, -7.00000000e+001, 4.33617340e+002
-1.18067894e+001, 8.40624924e+001, -7.00000000e+001, 4.32552734e+002
-1.18548708e+001, 8.40000000e+001, -7.00000000e+001, 4.32423645e+002
-1.18548708e+001, 8.40624924e+001, -7.00000000e+001, 4.31359924e+002
-1.18950796e+001, 8.40000000e+001, -7.00000000e+001, 4.31429199e+002
-1.18950796e+001, 8.40624924e+001, -7.00000000e+001, 4.30342651e+002
-1.19287033e+001, 8.40000000e+001, -7.00000000e+001, 4.30627533e+002
-1.19287033e+001, 8.40624924e+001, -7.00000000e+001, 4.29481323e+002
-1.19568224e+001, 8.40000000e+001, -7.00000000e+001, 4.30014374e+002
-1.19568224e+001, 8.40624924e+001, -7.00000000e+001, 4.28754211e+002
-1.21250000e+001, 8.39583359e+001, -7.00000000e+001, 4.27468811e+002
-1.21250000e+001, 8.40000000e+001, -7.00000000e+001, 4.25899139e+002
-1.24374990e+001, 8.39583359e+001, -7.00000000e+001, 4.07325928e+002
-1.24374990e+001, 8.40000000e+001, -7.00000000e+001, 4.05929016e+002
-1.21250000e+001, 8.40624924e+001, -7.00000000e+001, 4.23300903e+002
-1.24374990e+001, 8.40624924e+001, -7.00000000e+001, 4.03741394e+002
-1.21250000e+001, 8.38750000e+001, -7.00000000e+001, 4.30316559e+002
-1.21250000e+001, 8.39166641e+001, -7.00000000e+001, 4.28934418e+002
-1.24374990e+001, 8.38750000e+001, -7.00000000e+001, 4.09977234e+002
-1.24374990e+001, 8.39166641e+001, -7.00000000e+001, 4.08674713e+002
-1.21250000e+001, 8.35703735e+001, -7.00000000e+001, 4.38389313e+002
-1.24374990e+001, 8.35703735e+001, -7.00000000e+001, 4.18163971e+002
1.20000000e+001, 7.93056870e+001, -7.00000000e+001, 4.93645111e+002
1.20625010e+001, 7.93056870e+001, -7.00000000e+001, 4.92445526e+002
1.20625010e+001, 7.90010681e+001, -7.00000000e+001, 4.92347504e+002
1.20000000e+001, 7.90010681e+001, -7.00000000e+001, 4.93545563e+002
1.20625010e+001, 7.86963806e+001, -7.00000000e+001, 4.92139435e+002
1.20000000e+001, 7.86963806e+001, -7.00000000e+001, 4.93336273e+002
1.20625010e+001, 8.32657547e+001, -7.00000000e+001, 4.73544098e+002
1.20000000e+001, 8.32657547e+001, -7.00000000e+001, 4.74941559e+002
1.20625010e+001, 8.29611359e+001, -7.00000000e+001, 4.78247650e+002
1.20000000e+001, 8.29611359e+001, -7.00000000e+001, 4.79621399e+002
1.20625010e+001, 8.26565170e+001, -7.00000000e+001, 4.81802612e+002
1.20000000e+001, 8.26565170e+001, -7.00000000e+001, 4.83146698e+002
1.20625010e+001, 8.23518982e+001, -7.00000000e+001, 4.84512054e+002
1.20000000e+001, 8.23518982e+001, -7.00000000e+001, 4.85827118e+002
1.20625010e+001, 8.20472794e+001, -7.00000000e+001, 4.86591217e+002
1.20000000e+001, 8.20472794e+001, -7.00000000e+001, 4.87880798e+002
1.20625010e+001, 8.17426529e+001, -7.00000000e+001, 4.88194794e+002
1.20000000e+001, 8.17426529e+001, -7.00000000e+001, 4.89462616e+002
1.20625010e+001, 8.14380341e+001, -7.00000000e+001, 4.89433838e+002
1.20000000e+001, 8.14380341e+001, -7.00000000e+001, 4.90684082e+002
1.20625010e+001, 8.11334076e+001, -7.00000000e+001, 4.90388214e+002
1.20000000e+001, 8.11334076e+001, -7.00000000e+001, 4.91624176e+002
1.20625010e+001, 8.08287888e+001, -7.00000000e+001, 4.91116486e+002
1.20000000e+001, 8.08287888e+001, -7.00000000e+001, 4.92341370e+002
1.20625010e+001, 8.05241699e+001, -7.00000000e+001, 4.91660309e+002
1.20000000e+001, 8.05241699e+001, -7.00000000e+001, 4.92876404e+002
1.20625010e+001, 8.02195511e+001, -7.00000000e+001, 4.92048920e+002
1.20000000e+001, 8.02195511e+001, -7.00000000e+001, 4.93258606e+002
1.20625010e+001, 7.99149323e+001, -7.00000000e+001, 4.92302032e+002
1.20000000e+001, 7.99149323e+001, -7.00000000e+001, 4.93507233e+002
1.20625010e+001, 7.96103134e+001, -7.00000000e+001, 4.92431671e+002
1.20000000e+001, 7.96103134e+001, -7.00000000e+001, 4.93633575e+002
1.21250000e+001, 7.93056870e+001, -7.00000000e+001, 4.90681335e+002
1.21250000e+001, 7.90010681e+001, -7.00000000e+001, 4.90585632e+002
1.24374990e+001, 7.93056870e+001, -7.00000000e+001, 4.71689606e+002
1.24374990e+001, 7.90010681e+001, -7.00000000e+001, 4.71620148e+002
1.21250000e+001, 7.86963806e+001, -7.00000000e+001, 4.90378662e+002
1.24374990e+001, 7.86963806e+001, -7.00000000e+001, 4.71421204e+002
1.21250000e+001, 8.32657547e+001, -7.00000000e+001, 4.71491852e+002
1.24374990e+001, 8.32657547e+001, -7.00000000e+001, 4.49375305e+002
1.21250000e+001, 8.29611359e+001, -7.00000000e+001, 4.76231018e+002
1.24374990e+001, 8.29611359e+001, -7.00000000e+001, 4.54484406e+002
1.21250000e+001, 8.26565170e+001, -7.00000000e+001, 4.79826935e+002
1.24374990e+001, 8.26565170e+001, -7.00000000e+001, 4.58492493e+002
1.21250000e+001, 8.23518982e+001, -7.00000000e+001, 4.82575958e+002
1.24374990e+001, 8.23518982e+001, -7.00000000e+001, 4.61649353e+002
1.21250000e+001, 8.20472794e+001, -7.00000000e+001, 4.84690918e+002
1.24374990e+001, 8.20472794e+001, -7.00000000e+001, 4.64141663e+002
1.21250000e+001, 8.17426529e+001, -7.00000000e+001, 4.86325348e+002
1.24374990e+001, 8.17426529e+001, -7.00000000e+001, 4.66110840e+002
1.21250000e+001, 8.14380341e+001, -7.00000000e+001, 4.87590210e+002
1.24374990e+001, 8.14380341e+001, -7.00000000e+001, 4.67663879e+002
1.21250000e+001, 8.11334076e+001, -7.00000000e+001, 4.88566010e+002
1.24374990e+001, 8.11334076e+001, -7.00000000e+001, 4.68881805e+002
1.21250000e+001, 8.08287888e+001, -7.00000000e+001, 4.89311554e+002
1.24374990e+001, 8.08287888e+001, -7.00000000e+001, 4.69826202e+002
1.21250000e+001, 8.05241699e+001, -7.00000000e+001, 4.89868774e+002
1.24374990e+001, 8.05241699e+001, -7.00000000e+001, 4.70543182e+002
1.21250000e+001, 8.02195511e+001, -7.00000000e+001, 4.90267700e+002
1.24374990e+001, 8.02195511e+001, -7.00000000e+001, 4.71066895e+002
1.21250000e+001, 7.99149323e+001, -7.00000000e+001, 4.90528503e+002
1.24374990e+001, 7.99149323e+001, -7.00000000e+001, 4.71422180e+002
1.21250000e+001, 7.96103134e+001, -7.00000000e+001, 4.90663757e+002
1.24374990e+001, 7.96103134e+001, -7.00000000e+001, 4.71625885e+002
-1.20000000e+001, 7.93056870e+001, -7.00000000e+001, 4.78982208e+002
-1.20000000e+001, 7.90010681e+001, -7.00000000e+001, 4.79522064e+002
-1.20625010e+001, 7.90010681e+001, -7.00000000e+001, 4.78357208e+002
-1.20625010e+001, 7.93056870e+001, -7.00000000e+001, 4.77817871e+002
-1.20000000e+001, 7.86963806e+001, -7.00000000e+001, 4.79950989e+002
-1.20625010e+001, 7.86963806e+001, -7.00000000e+001, 4.78784241e+002
-1.20000000e+001, 8.32657547e+001, -7.00000000e+001, 4.47864532e+002
-1.20625010e+001, 8.32657547e+001, -7.00000000e+001, 4.46701233e+002
-1.20000000e+001, 8.29611359e+001, -7.00000000e+001, 4.53398407e+002
-1.20625010e+001, 8.29611359e+001, -7.00000000e+001, 4.52216278e+002
-1.20000000e+001, 8.26565170e+001, -7.00000000e+001, 4.58098419e+002
-1.20625010e+001, 8.26565170e+001, -7.00000000e+001, 4.56903107e+002
-1.20000000e+001, 8.23518982e+001, -7.00000000e+001, 4.62055023e+002
-1.20625010e+001, 8.23518982e+001, -7.00000000e+001, 4.60855652e+002
-1.20000000e+001, 8.20472794e+001, -7.00000000e+001, 4.65370483e+002
-1.20625010e+001, 8.20472794e+001, -7.00000000e+001, 4.64173187e+002
-1.20000000e+001, 8.17426529e+001, -7.00000000e+001, 4.68145294e+002
-1.20625010e+001, 8.17426529e+001, -7.00000000e+001, 4.66952942e+002
-1.20000000e+001, 8.14380341e+001, -7.00000000e+001, 4.70468567e+002
-1.20625010e+001, 8.14380341e+001, -7.00000000e+001, 4.69281616e+002
-1.20000000e+001, 8.11334076e+001, -7.00000000e+001, 4.72414154e+002
-1.20625010e+001, 8.11334076e+001, -7.00000000e+001, 4.71232666e+002
-1.20000000e+001, 8.08287888e+001, -7.00000000e+001, 4.74044739e+002
-1.20625010e+001, 8.08287888e+001, -7.00000000e+001, 4.72868439e+002
-1.20000000e+001, 8.05241699e+001, -7.00000000e+001, 4.75411774e+002
-1.20625010e+001, 8.05241699e+001, -7.00000000e+001, 4.74239838e+002
-1.20000000e+001, 8.02195511e+001, -7.00000000e+001, 4.76558075e+002
-1.20625010e+001, 8.02195511e+001, -7.00000000e+001, 4.75389557e+002
-1.20000000e+001, 7.99149323e+001, -7.00000000e+001, 4.77518158e+002
-1.20625010e+001, 7.99149323e+001, -7.00000000e+001, 4.76352203e+002
-1.20000000e+001, 7.96103134e+001, -7.00000000e+001, 4.78318848e+002
-1.20625010e+001, 7.96103134e+001, -7.00000000e+001, 4.77154297e+002
-1.21250000e+001, 7.90010681e+001, -7.00000000e+001, 4.76638611e+002
-1.21250000e+001, 7.93056870e+001, -7.00000000e+001, 4.76098724e+002
-1.24374990e+001, 7.90010681e+001, -7.00000000e+001, 4.58085724e+002
-1.24374990e+001, 7.93056870e+001, -7.00000000e+001, 4.57527618e+002
-1.21250000e+001, 7.86963806e+001, -7.00000000e+001, 4.77064117e+002
-1.24374990e+001, 7.86963806e+001, -7.00000000e+001, 4.58505676e+002
-1.21250000e+001, 8.32657547e+001, -7.00000000e+001, 4.44904114e+002
-1.24374990e+001, 8.32657547e+001, -7.00000000e+001, 4.24844757e+002
-1.21250000e+001, 8.29611359e+001, -7.00000000e+001, 4.50414520e+002
-1.24374990e+001, 8.29611359e+001, -7.00000000e+001, 4.30466705e+002
-1.21250000e+001, 8.26565170e+001, -7.00000000e+001, 4.55098755e+002
-1.24374990e+001, 8.26565170e+001, -7.00000000e+001, 4.35252167e+002
-1.21250000e+001, 8.23518982e+001, -7.00000000e+001, 4.59055359e+002
-1.24374990e+001, 8.23518982e+001, -7.00000000e+001, 4.39331238e+002
-1.21250000e+001, 8.20472794e+001, -7.00000000e+001, 4.62381744e+002
-1.24374990e+001, 8.20472794e+001, -7.00000000e+001, 4.42801697e+002
-1.21250000e+001, 8.17426529e+001, -7.00000000e+001, 4.65172516e+002
-1.24374990e+001, 8.17426529e+001, -7.00000000e+001, 4.45748230e+002
-1.21250000e+001, 8.14380341e+001, -7.00000000e+001, 4.67512695e+002
-1.24374990e+001, 8.14380341e+001, -7.00000000e+001, 4.48245148e+002
-1.21250000e+001, 8.11334076e+001, -7.00000000e+001, 4.69474976e+002
-1.24374990e+001, 8.11334076e+001, -7.00000000e+001, 4.50357208e+002
-1.21250000e+001, 8.08287888e+001, -7.00000000e+001, 4.71120819e+002
-1.24374990e+001, 8.08287888e+001, -7.00000000e+001, 4.52140472e+002
-1.21250000e+001, 8.05241699e+001, -7.00000000e+001, 4.72501160e+002
-1.24374990e+001, 8.05241699e+001, -7.00000000e+001, 4.53642120e+002
-1.21250000e+001, 8.02195511e+001, -7.00000000e+001, 4.73658356e+002
-1.24374990e+001, 8.02195511e+001, -7.00000000e+001, 4.54902161e+002
-1.21250000e+001, 7.99149323e+001, -7.00000000e+001, 4.74626678e+002
-1.24374990e+001, 7.99149323e+001, -7.00000000e+001, 4.55953278e+002
